date,Carrots,Cabbages,Tomatoes,Import Red Onions,Import Big Onions,Import Potatoes,Import Chillies,Average Exchange Rate,Import Fuel Price
2020-01-01,390.0,190.0,150.0,550.0,116.0,120.0,460.0,181.4,70.44
2020-01-02,350.0,180.0,150.0,550.0,116.0,120.0,460.0,181.4,70.44
2020-01-03,430.0,175.0,190.0,550.0,136.0,135.0,460.0,181.4,70.44
2020-01-06,430.0,175.0,190.0,550.0,126.0,130.0,460.0,181.4,70.44
2020-01-07,350.0,175.0,190.0,550.0,,125.0,460.0,181.4,70.44
2020-01-08,380.0,175.0,175.0,550.0,119.0,133.0,460.0,181.4,70.44
2020-01-09,380.0,175.0,210.0,,119.0,130.0,540.0,181.4,70.44
2020-01-10,,,,,,,,181.4,70.44
2020-01-13,450.0,180.0,290.0,550.0,126.0,145.0,540.0,181.4,70.44
2020-01-14,430.0,180.0,280.0,550.0,122.0,145.0,540.0,181.4,70.44
2020-01-15,,,,,,,,181.4,70.44
2020-01-16,480.0,180.0,400.0,550.0,122.0,140.0,540.0,181.4,70.44
2020-01-17,490.0,180.0,400.0,550.0,122.0,145.0,540.0,181.4,70.44
2020-01-20,420.0,145.0,390.0,450.0,115.0,145.0,540.0,181.4,70.44
2020-01-21,480.0,150.0,400.0,460.0,116.0,145.0,550.0,181.4,70.44
2020-01-22,440.0,160.0,390.0,460.0,118.0,145.0,550.0,181.4,70.44
2020-01-23,440.0,160.0,380.0,460.0,118.0,145.0,550.0,181.4,70.44
2020-01-24,440.0,160.0,350.0,460.0,115.0,145.0,550.0,181.4,70.44
2020-01-27,480.0,160.0,460.0,520.0,115.0,110.0,550.0,181.4,70.44
2020-01-28,420.0,110.0,440.0,470.0,105.0,105.0,550.0,181.4,70.44
2020-01-29,450.0,160.0,400.0,460.0,118.0,145.0,550.0,181.4,70.44
2020-01-30,450.0,160.0,380.0,460.0,116.0,145.0,550.0,181.4,70.44
2020-01-31,450.0,160.0,390.0,500.0,118.0,140.0,550.0,181.4,70.44
2020-02-03,400.0,160.0,430.0,500.0,113.0,135.0,570.0,181.56,63.68
2020-02-04,,,,,,,,181.56,63.68
2020-02-05,400.0,160.0,400.0,500.0,113.0,143.0,570.0,181.56,63.68
2020-02-06,400.0,160.0,400.0,500.0,112.0,140.0,570.0,181.56,63.68
2020-02-07,350.0,160.0,400.0,500.0,108.0,140.0,570.0,181.56,63.68
2020-02-10,365.0,160.0,350.0,400.0,140.0,140.0,570.0,181.56,63.68
2020-02-11,400.0,160.0,375.0,400.0,155.0,140.0,570.0,181.56,63.68
2020-02-12,400.0,170.0,350.0,400.0,160.0,145.0,650.0,181.56,63.68
2020-02-13,400.0,170.0,350.0,400.0,165.0,110.0,650.0,181.56,63.68
2020-02-14,350.0,160.0,350.0,400.0,165.0,115.0,650.0,181.56,63.68
2020-02-17,280.0,155.0,335.0,350.0,150.0,105.0,650.0,181.56,63.68
2020-02-18,245.0,160.0,220.0,345.0,148.0,105.0,650.0,181.56,63.68
2020-02-19,205.0,160.0,200.0,350.0,135.0,115.0,650.0,181.56,63.68
2020-02-20,200.0,155.0,140.0,350.0,143.0,120.0,650.0,181.56,63.68
2020-02-21,,,,,,,,181.56,63.68
2020-02-24,200.0,145.0,200.0,350.0,165.0,105.0,600.0,181.56,63.68
2020-02-25,210.0,140.0,200.0,345.0,165.0,105.0,600.0,181.56,63.68
2020-02-26,200.0,130.0,190.0,345.0,165.0,100.0,600.0,181.56,63.68
2020-02-27,200.0,130.0,190.0,345.0,150.0,100.0,600.0,181.56,63.68
2020-02-28,200.0,120.0,190.0,345.0,165.0,100.0,600.0,181.56,63.68
2020-03-02,160.0,130.0,190.0,340.0,157.0,115.0,440.0,185.06,37.67
2020-03-03,190.0,130.0,180.0,340.0,158.0,120.0,440.0,185.06,37.67
2020-03-04,190.0,130.0,180.0,340.0,160.0,115.0,440.0,185.06,37.67
2020-03-05,200.0,120.0,145.0,300.0,155.0,120.0,440.0,185.06,37.67
2020-03-06,190.0,120.0,140.0,300.0,150.0,120.0,440.0,185.06,37.67
